uri,kind,label,lang,type
http://www.wikidata.org/prop/direct/P2348,relation,P2348,,relation
http://www.wikidata.org/prop/direct/P2358,relation,P2358,,relation
http://www.wikidata.org/prop/direct/P2359,relation,P2359,,relation
http://www.wikidata.org/prop/direct/P2360,relation,P2360,,relation
http://www.wikidata.org/prop/direct/P2363,relation,P2363,,relation
http://www.wikidata.org/prop/direct/P2365,relation,P2365,,relation
http://www.wikidata.org/prop/direct/P237,relation,P237,,relation
http://www.wikidata.org/prop/direct/P2388,relation,P2388,,relation
http://www.wikidata.org/prop/direct/P2408,relation,P2408,,relation
http://www.wikidata.org/prop/direct/P241,relation,P241,,relation
http://www.wikidata.org/prop/direct/P2416,relation,P2416,,relation
http://www.wikidata.org/prop/direct/P2438,relation,P2438,,relation
http://www.wikidata.org/prop/direct/P25,relation,P25,,relation
http://www.wikidata.org/prop/direct/P2505,relation,P2505,,relation
http://www.wikidata.org/prop/direct/P2512,relation,P2512,,relation
http://www.wikidata.org/prop/direct/P2515,relation,P2515,,relation
http://www.wikidata.org/prop/direct/P2522,relation,P2522,,relation
http://www.wikidata.org/prop/direct/P2541,relation,P2541,,relation
http://www.wikidata.org/prop/direct/P2546,relation,P2546,,relation
http://www.wikidata.org/prop/direct/P2550,relation,P2550,,relation
http://www.wikidata.org/prop/direct/P2554,relation,P2554,,relation
http://www.wikidata.org/prop/direct/P2563,relation,P2563,,relation
http://www.wikidata.org/prop/direct/P2564,relation,P2564,,relation
http://www.wikidata.org/prop/direct/P2578,relation,P2578,,relation
http://www.wikidata.org/prop/direct/P2579,relation,P2579,,relation
http://www.wikidata.org/prop/direct/P2587,relation,P2587,,relation
http://www.wikidata.org/prop/direct/P2596,relation,P2596,,relation
http://www.wikidata.org/prop/direct/P26,relation,P26,,relation
http://www.wikidata.org/prop/direct/P2614,relation,P2614,,relation
http://www.wikidata.org/prop/direct/P2629,relation,P2629,,relation
http://www.wikidata.org/prop/direct/P2634,relation,P2634,,relation
http://www.wikidata.org/prop/direct/P2637,relation,P2637,,relation
http://www.wikidata.org/prop/direct/P264,relation,P264,,relation
http://www.wikidata.org/prop/direct/P2643,relation,P2643,,relation
http://www.wikidata.org/prop/direct/P2650,relation,P2650,,relation
http://www.wikidata.org/prop/direct/P2652,relation,P2652,,relation
http://www.wikidata.org/prop/direct/P2670,relation,P2670,,relation
http://www.wikidata.org/prop/direct/P2684,relation,P2684,,relation
http://www.wikidata.org/prop/direct/P27,relation,nationality,,relation
http://www.wikidata.org/prop/direct/P272,relation,production company,,relation
http://www.wikidata.org/prop/direct/P2737,relation,P2737,,relation
http://www.wikidata.org/prop/direct/P2747,relation,P2747,,relation
http://www.wikidata.org/prop/direct/P275,relation,P275,,relation
http://www.wikidata.org/prop/direct/P2756,relation,P2756,,relation
http://www.wikidata.org/prop/direct/P2758,relation,P2758,,relation
http://www.wikidata.org/prop/direct/P276,relation,P276,,relation
http://www.wikidata.org/prop/direct/P2789,relation,P2789,,relation
